timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-11T02:20:00Z,29.186,0.0,Fitbit App
2025-08-11T02:25:00Z,35.296,0.0,Fitbit App
2025-08-11T02:30:00Z,29.152,0.0,Fitbit App
2025-08-11T02:35:00Z,37.221,0.0,Fitbit App
2025-08-11T02:40:00Z,35.519,0.0,Fitbit App
2025-08-11T02:45:00Z,44.103,0.0,Fitbit App
2025-08-11T02:50:00Z,17.704,0.0,Fitbit App
2025-08-11T02:55:00Z,16.258,0.0,Fitbit App
2025-08-11T03:00:00Z,14.502,0.0,Fitbit App
2025-08-11T03:05:00Z,16.993,0.0,Fitbit App
2025-08-11T03:10:00Z,13.428,0.0,Fitbit App
2025-08-11T03:15:00Z,18.563,0.0,Fitbit App
2025-08-11T03:20:00Z,25.0,0.0,Fitbit App
2025-08-11T03:25:00Z,25.454,0.0,Fitbit App
2025-08-11T03:30:00Z,23.856,0.0,Fitbit App
2025-08-11T03:35:00Z,19.747,0.0,Fitbit App
2025-08-11T03:40:00Z,21.578,0.0,Fitbit App
2025-08-11T03:45:00Z,15.706,0.0,Fitbit App
2025-08-11T03:50:00Z,15.625,0.0,Fitbit App
2025-08-11T03:55:00Z,14.935,0.0,Fitbit App
2025-08-11T04:00:00Z,15.61,0.0,Fitbit App
2025-08-11T04:05:00Z,16.592,0.0,Fitbit App
2025-08-11T04:10:00Z,20.478,0.0,Fitbit App
2025-08-11T04:15:00Z,15.617,0.0,Fitbit App
2025-08-11T04:20:00Z,15.181,0.0,Fitbit App
2025-08-11T04:25:00Z,15.12,0.0,Fitbit App
2025-08-11T04:30:00Z,15.563,0.0,Fitbit App
2025-08-11T04:35:00Z,17.232,0.0,Fitbit App
2025-08-11T04:40:00Z,15.998,0.0,Fitbit App
2025-08-11T04:45:00Z,17.312,0.0,Fitbit App
2025-08-11T04:50:00Z,22.428,0.0,Fitbit App
2025-08-11T04:55:00Z,24.713,0.0,Fitbit App
2025-08-11T22:00:00Z,22.637,0.0,Fitbit App
2025-08-11T22:05:00Z,29.875,0.0,Fitbit App
2025-08-11T22:10:00Z,27.242,0.0,Fitbit App
2025-08-11T22:15:00Z,26.234,0.0,Fitbit App
2025-08-11T22:20:00Z,25.292,0.0,Fitbit App
2025-08-11T22:25:00Z,23.54,0.0,Fitbit App
2025-08-11T22:30:00Z,21.012,0.0,Fitbit App
2025-08-11T22:35:00Z,22.73,0.0,Fitbit App
2025-08-11T22:40:00Z,21.307,0.0,Fitbit App
2025-08-11T22:45:00Z,20.543,0.0,Fitbit App
2025-08-11T22:50:00Z,18.793,0.0,Fitbit App
2025-08-11T22:55:00Z,15.02,0.0,Fitbit App
2025-08-11T23:00:00Z,13.572,0.0,Fitbit App
2025-08-11T23:05:00Z,11.485,0.0,Fitbit App
